,0
1379,0.1963245
1380,0.2011129
1381,0.2705448
1382,0.2346318
1383,0.1412579
1384,0.1604115
1385,0.2561796
1386,0.3112462
1387,0.28491
1388,0.1963245
1389,0.2442086
1390,0.2633622
1391,0.1580173
1392,-0.2298434
1393,-0.9935937
1394,-2.082955
1395,-1.443704
1396,-0.2274492
1397,0.5410896
1398,0.4572925
1399,-0.4429273
1400,-0.2154782
1401,0.3280056
1402,-0.2082956
1403,-1.063026
1404,-1.467646
1405,-1.043872
1406,0.4022259
1407,0.3543419
1408,-0.1556231
1409,-0.4908113
1410,-0.3950433
1411,0.1436521
1412,-0.1556231
1413,-0.5793968
1414,-0.7110779
1415,-0.4261679
1416,0.237026
1417,0.1005565
1418,-0.1604115
1419,-0.3232172
1420,-0.2226608
1421,0.1556231
1422,-0.213084
1423,-0.2202666
1424,0.1819593
1425,0.2753332
1426,0.2418144
1427,0.1915361
1428,0.237026
1429,0.3543419
1430,0.3854665
1431,0.3734955
1432,0.4189853
1433,0.4453215
1434,0.4572925
1435,0.4596867
1436,0.4908113
1437,0.5985504
1438,0.6991069
1439,0.6009446
1440,0.5195417
1441,0.5410896
1442,0.6679823
1443,0.7781156
1444,0.7565677
1445,0.4333505
1446,0.3998317
1447,0.4501099
1448,0.4716577
1449,0.4285621
1450,0.2825158
1451,0.320823
1452,0.3567361
1453,0.344765
1454,0.3160346
1455,0.2920926
1456,0.08858546
1457,0.09337386
1458,0.1747767
1459,0.1915361
1460,-0.1939303
1461,-0.3974375
1462,-0.4165911
1463,-0.237026
1464,-0.248997
1465,-0.3303998
1466,-0.3256114
1467,-0.3998317
1468,-0.6512229
1469,-0.9074024
1470,-0.7996634
1471,-0.4381389
1472,-0.3567361
1473,-0.5363012
1474,-0.6679823
1475,-0.6320692
1476,-0.5889736
1477,-0.6560113
1478,-0.629675
1479,-0.5506664
1480,-0.4908113
1481,-0.3495534
1482,-0.3998317
1483,-0.3711013
1484,-0.2442086
1485,-0.2633622
1486,-0.5746084
1487,-0.5171475
1488,-0.3016694
1489,-0.1580173
1490,-0.1963245
1491,-0.1651999
1492,-0.1412579
1493,-0.2633622
1494,-0.1532289
1495,0.1053449
1496,0.1556231
1497,0.1843535
1498,0.2418144
1499,0.2944868
1500,0.2561796
1501,0.08379706
1502,0.1221043
1503,0.2633622
